name,longitude,latitude
c_ferruginea,-46.333333,-14.25
c_ferruginea,-45.75,-15.5
c_ferruginea,-40.945556,-3.836111
c_ferruginea,-52.3,-22.6
c_ferruginea,-42.882222,-20.754444
c_ferruginea,-45.016667,-16.133333
c_ferruginea,-47.1125,-23.523889
c_ferruginea,-42.543056,-14.743333
c_ferruginea,-35.5,-7.583333
c_ferruginea,-42.789722,-13.086111
c_ferruginea,-41.14,-7.121389
c_ferruginea,-42.506389,-14.090833
c_ferruginea,-39.3275,-14.273333
c_ferruginea,-42.485,-14.479167
c_ferruginea,-39.601944,-7.216389
c_ferruginea,-40.05,-19.15
c_ferruginea,-39.535,-15.158333
c_ferruginea,-40.888333,-5.162222
c_ferruginea,-43.470278,-22.538611
c_ferruginea,-48.146111,-19.144444
c_ferruginea,-46.091111,-14.543611
c_ferruginea,-39.1388889,-7.416
c_ferruginea,-48.9072,-21.1858
c_ferruginea,-46.65,-22.5231
c_ferruginea,-45.0711,-23.4339
c_ferruginea,-46.6361,-23.5475
c_ferruginea,-46.668492,-22.694886
c_ferruginea,-46.9578,-22.4319
c_ferruginea,-43.2075,-22.9028
c_ferruginea,-47.8228,-22.2528
c_ferruginea,-47.0608,-22.9056
c_ferruginea,-46.1447,-22.7553
c_ferruginea,-47.2225,-23.6564
c_ferruginea,-43.2656,-21.5878
c_ferruginea,-46.756944,-23.460556
c_ferruginea,-46.996411,-23.395686
c_ferruginea,-37.381111,-7.253056
c_ferruginea,-36.2666667,-10.0005556
c_ferruginea,-36.7788889,-10.175
c_ferruginea,-35.5672222,-9.1
c_ferruginea,-37.9555556,-9.2697222
c_ferruginea,-35.5,-7.583333
c_ferruginea,-47.266667,-19.333333
c_ferruginea,-46.7725,-23.663056
c_ferruginea,-43.402056,-19.396361
c_ferruginea,-44.656667,-22.642778
c_ferruginea,-43.981639,-19.469639
c_ferruginea,-45.016667,-16.133333
c_ferruginea,-45.75,-15.5
c_ferruginea,-46.473111,-20.483361
c_ferruginea,-45.9375,-23.716667
c_ferruginea,-48.080556,-23.523889
c_ferruginea,-55.727222,-15.502778
c_ferruginea,-46,-20
c_ferruginea,-48.588139,-23.711128
c_ferruginea,-46.866667,-23.183333
c_ferruginea,-47.720969,-23.383744
c_ferruginea,47.049444,-23.321667
c_ferruginea,-41.9072,-20.6503
c_ferruginea,-40.958278,-20.285389
c_ferruginea,-38.351081,-19.133642
c_ferruginea,-35.881111,-7.230833
c_ferruginea,-35.125833,-6.838889
c_ferruginea,-45.4960278,-19.2575
c_ferruginea,-40.6625,-18.985
c_ferruginea,-40.516,-19.354444
c_ferruginea,-40.449444,-19.925
c_ferruginea,-41.326667,-12.807222
c_ferruginea,-40.553056,-19.9075
c_ferruginea,-40.750333,-19.317194
c_ferruginea,-48.7425,-23.533333
c_ferruginea,-46.943333,-23.850556
c_ferruginea,-38.5,-12.883333
c_ferruginea,-41.333333,-12.7
c_ferruginea,-35.691389,-6.963333
c_ferruginea,-37.65,-10.917222
c_ferruginea,-37.071667,-10.911111
c_ferruginea,-45.016666,-16.133333
c_ferruginea,-44.25,-15.75
c_ferruginea,-39.133333,-16.383333
