gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1409653692	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS386647651	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		BO	Laguna Volcán	Santa Cruz		2	e2e717bf-551a-4917-bdc9-4fa0f342c530	-18.120158	-63.64706							1996-11-19T00:00:00Z	19	11	1996	2485028	2485028	HUMAN_OBSERVATION	CLO	EBIRD	OBS386647651				CC0_1_0		obsr351820			2020-02-11T01:50:23.994Z		COORDINATE_ROUNDED
1407416986	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS376379278	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		BR	Pantanal--Pousada Piuval	Mato Grosso			e2e717bf-551a-4917-bdc9-4fa0f342c530	-16.378611	-56.620833							2015-10-16T00:00:00Z	16	10	2015	2485028	2485028	HUMAN_OBSERVATION	CLO	EBIRD	OBS376379278				CC0_1_0		obsr59106			2020-02-11T01:50:27.730Z		COORDINATE_ROUNDED
1407385360	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS375470104	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		BR	Chapado do Araripe	Ceará			e2e717bf-551a-4917-bdc9-4fa0f342c530	-7.215946	-40.134988							2012-11-22T00:00:00Z	22	11	2012	2485028	2485028	HUMAN_OBSERVATION	CLO	EBIRD	OBS375470104				CC0_1_0		obsr59106			2020-02-11T01:55:12.882Z		COORDINATE_ROUNDED
1407382609	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS375470416	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		BR	Pousada do Serra, Guaramiranga, Ceara, BR	Ceará		1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-4.258019	-38.930633							2012-11-19T00:00:00Z	19	11	2012	2485028	2485028	HUMAN_OBSERVATION	CLO	EBIRD	OBS375470416				CC0_1_0		obsr59106			2020-02-11T01:53:54.709Z		COORDINATE_ROUNDED
1405548006	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS365467797	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		BO	Samaipata Vicinity	Santa Cruz		1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-18.178922	-63.860493							2015-08-02T00:00:00Z	2	8	2015	2485028	2485028	HUMAN_OBSERVATION	CLO	EBIRD	OBS365467797				CC0_1_0		obsr456006			2020-02-11T01:50:10.985Z		COORDINATE_ROUNDED
1405329702	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS365059869	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		BO	Samaipata Vicinity	Santa Cruz		1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-18.178922	-63.860493							2015-08-02T00:00:00Z	2	8	2015	2485028	2485028	HUMAN_OBSERVATION	CLO	EBIRD	OBS365059869				CC0_1_0		obsr58986			2020-02-11T01:53:41.309Z		COORDINATE_ROUNDED
1405244923	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS364275030	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		AR	Parque Nacional Calilegua	Jujuy			e2e717bf-551a-4917-bdc9-4fa0f342c530	-23.759299	-64.853164							1991-07-03T00:00:00Z	3	7	1991	2485028	2485028	HUMAN_OBSERVATION	CLO	EBIRD	OBS364275030				CC0_1_0		obsr239728			2020-02-11T01:50:19.277Z		COORDINATE_ROUNDED
1405199543	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS364365705	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		BO	Parque Nacional Amboro	Santa Cruz		2	e2e717bf-551a-4917-bdc9-4fa0f342c530	-18.054478	-63.841553							2015-09-10T00:00:00Z	10	9	2015	2485028	2485028	HUMAN_OBSERVATION	CLO	EBIRD	OBS364365705				CC0_1_0		obsr162647			2020-02-11T01:50:31.180Z		COORDINATE_ROUNDED
1405131550	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS363486249	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		BR	Caetité -- Brejinho das Ametistas	Bahia		1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-14.308148	-42.540913							2015-12-21T00:00:00Z	21	12	2015	2485028	2485028	HUMAN_OBSERVATION	CLO	EBIRD	OBS363486249				CC0_1_0		obsr55942			2020-02-11T01:53:40.117Z		
1405003524	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS362986952	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		BR	Caetité -- Brejinho das Ametistas	Bahia		1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-14.308148	-42.540913							2015-12-21T00:00:00Z	21	12	2015	2485028	2485028	HUMAN_OBSERVATION	CLO	EBIRD	OBS362986952				CC0_1_0		obsr553166			2020-02-11T01:53:37.670Z		
